team;touches;passes_def;passes_mid;passes_att;passes_forward;passes_backward;passes_left;passes_right;passes_long;passes_short;crosses;shots;goals_scored;goals_received;possession;match;Link
Sao Paulo;723;105;323;178;372;234;306;298;42;564;19;11;1;2;59,8;Round 3 - Vasco x Sao Paulo;https://1xbet.whoscored.com/Matches/1457588/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Sao-Paulo
Bahia;577;74;251;86;278;132;218;188;53;358;8;10;2;1;42,6;Round 3 - Bahia x Red Bull;https://1xbet.whoscored.com/Matches/1457583/Live/Brazil-Brasileirão-2020-Bahia-Red-Bull-Bragantino
Red Bull;694;64;266;226;360;192;276;279;52;504;24;16;1;2;57,4;Round 3 - Bahia x Red Bull;https://1xbet.whoscored.com/Matches/1457583/Live/Brazil-Brasileirão-2020-Bahia-Red-Bull-Bragantino
Fluminense;552;72;205;96;246;126;182;191;46;327;8;10;2;1;43,5;Round 3 - Fluminense x Internacional;https://1xbet.whoscored.com/Matches/1457589/Live/Brazil-Brasileirão-2020-Fluminense-Internacional
Internacional;612;91;264;121;304;169;232;241;60;416;16;9;1;2;56,5;Round 3 - Fluminense x Internacional;https://1xbet.whoscored.com/Matches/1457589/Live/Brazil-Brasileirão-2020-Fluminense-Internacional
Atletico GO;424;47;111;112;211;57;138;131;52;218;15;11;1;1;31,8;Round 3 - Atletico GO x Sport Recife;https://1xbet.whoscored.com/Matches/1457580/Live/Brazil-Brasileirão-2020-Atletico-GO-Sport-Recife
Sport Recife;695;92;284;204;367;208;292;286;39;541;36;15;1;1;68,2;Round 3 - Atletico GO x Sport Recife;https://1xbet.whoscored.com/Matches/1457580/Live/Brazil-Brasileirão-2020-Atletico-GO-Sport-Recife
Fortaleza;710;97;353;146;357;236;299;295;34;562;17;12;0;0;58,5;Round 3 - Fortaleza x Botafogo;https://1xbet.whoscored.com/Matches/1457581/Live/Brazil-Brasileirão-2020-Fortaleza-Botafogo-RJ
Botafogo;541;93;219;112;267;155;225;197;37;387;20;15;0;0;41,5;Round 3 - Fortaleza x Botafogo;https://1xbet.whoscored.com/Matches/1457581/Live/Brazil-Brasileirão-2020-Fortaleza-Botafogo-RJ
Santos;481;96;140;87;211;110;173;150;56;267;12;11;3;1;32,8;Round 3 - Santos x Athletico Paranaense;https://1xbet.whoscored.com/Matches/1457586/Live/Brazil-Brasileirão-2020-Santos-FC-Athletico-Paranaense
Athletico Paranaense;587;140;300;207;380;254;327;307;60;587;28;12;1;3;67,2;Round 3 - Santos x Athletico Paranaense;https://1xbet.whoscored.com/Matches/1457586/Live/Brazil-Brasileirão-2020-Santos-FC-Athletico-Paranaense
Red Bull;653;82;218;190;336;152;257;230;50;440;23;13;2;1;51,7;Round 4 - Red Bull x Fluminense;https://1xbet.whoscored.com/Matches/1457576/Live/Brazil-Brasileirão-2020-Red-Bull-Bragantino-Fluminense
Fluminense;641;93;228;145;305;160;248;217;38;428;21;9;1;2;48,3;Round 4 - Red Bull x Fluminense;https://1xbet.whoscored.com/Matches/1457576/Live/Brazil-Brasileirão-2020-Red-Bull-Bragantino-Fluminense
Flamengo;758;109;340;182;387;236;308;318;49;582;11;8;1;1;60,3;Round 4 - Flamengo x Gremio;https://1xbet.whoscored.com/Matches/1457579/Live/Brazil-Brasileirão-2020-Flamengo-Gremio
