;touches;passes_def;passes_mid;passes_att;passes_forward;passes_backward;passes_vertical;passes_left;passes_right;passes_horizontal;passes_long;passes_short;crosses;shots;goals_scored;goals_received;possession;match;Link
Santos;598;130;225;114;295;169;464;243;226;469;36;433;29;13;2;2;62;Round 7 - Santos x Vasco;https://1xbet.whoscored.com/Matches/1457609/Live/Brazil-Brasileirão-2020-Santos-FC-Vasco-da-Gama
Vasco;430;69;148;78;191;104;295;163;131;294;45;250;8;9;2;2;38;Round 7 - Santos x Vasco;https://1xbet.whoscored.com/Matches/1457609/Live/Brazil-Brasileirão-2020-Santos-FC-Vasco-da-Gama
Palmeiras;583;82;222;107;293;117;410;227;184;411;69;342;19;11;1;1;49;Round 7 - Palmeiras x Internacional;https://1xbet.whoscored.com/Matches/1457610/Live/Brazil-Brasileirão-2020-Palmeiras-Internacional
Internacional;594;79;233;122;284;149;433;224;208;432;66;368;11;8;1;1;51;Round 7 - Palmeiras x Internacional;https://1xbet.whoscored.com/Matches/1457610/Live/Brazil-Brasileirão-2020-Palmeiras-Internacional
Gremio;894;77;390;289;506;245;751;368;385;753;57;699;47;29;1;2;72;Round 7 - Gremio x Sport Recife;https://1xbet.whoscored.com/Matches/1457621/Live/Brazil-Brasileirão-2020-Gremio-Sport-Recife
Sport Recife;441;45;160;87;212;78;290;140;147;287;68;224;3;5;2;1;28;Round 7 - Gremio x Sport Recife;https://1xbet.whoscored.com/Matches/1457621/Live/Brazil-Brasileirão-2020-Gremio-Sport-Recife
Atletico Mg;675;130;253;141;327;196;523;265;256;521;80;444;13;14;3;0;51;Round 7 - Atletico Mg x Sao Paulo;https://1xbet.whoscored.com/Matches/1457608/Live/Brazil-Brasileirão-2020-Atletico-MG-Sao-Paulo
Sao Paulo;665;193;209;121;316;205;521;259;262;521;58;465;11;13;0;3;49;Round 7 - Atletico Mg x Sao Paulo;https://1xbet.whoscored.com/Matches/1457608/Live/Brazil-Brasileirão-2020-Atletico-MG-Sao-Paulo
Flamengo;697;55;286;223;361;201;562;290;273;563;27;537;32;18;2;1;62;Round 8 - Flamengo x Fortaleza;https://1xbet.whoscored.com/Matches/1457626/Live/Brazil-Brasileirão-2020-Flamengo-Fortaleza
Fortaleza;499;98;194;58;202;146;348;179;170;349;63;287;7;4;1;2;38;Round 8 - Flamengo x Fortaleza;https://1xbet.whoscored.com/Matches/1457626/Live/Brazil-Brasileirão-2020-Flamengo-Fortaleza
Corinthians;736;152;276;172;376;216;592;288;306;594;54;546;33;15;2;2;61;Round 8 - Corinthians x Botafogo;https://1xbet.whoscored.com/Matches/1457637/Live/Brazil-Brasileirão-2020-Corinthians-Botafogo-RJ
Botafogo;552;90;177;123;268;119;387;184;198;382;53;337;27;13;2;2;39;Round 8 - Corinthians x Botafogo;https://1xbet.whoscored.com/Matches/1457637/Live/Brazil-Brasileirão-2020-Corinthians-Botafogo-RJ
Ceara;601;50;267;155;313;157;470;241;228;469;46;426;24;16;0;1;61;Round 8 - Ceara x Santos;  https://1xbet.whoscored.com/Matches/1457628/Live/Brazil-Brasileir%C3%A3o-2020-Ceara-Santos-FC
Santos;463;79;154;71;220;84;304;156;144;300;45;259;17;7;1;0;39;Round 8 - Ceara x Santos;https://1xbet.whoscored.com/Matches/1457628/Live/Brazil-Brasileir%C3%A3o-2020-Ceara-Santos-FC
Red Bull;549;58;203;128;252;133;385;182;202;384;45;344;15;20;1;2;38;Round 8 - Red Bull x Palmeiras;https://1xbet.whoscored.com/Matches/1457638/Live/Brazil-Brasileir%C3%A3o-2020-Red-Bull-Bragantino-Palmeiras
Palmeiras;792;228;270;127;372;250;622;298;326;624;53;572;20;14;2;1;62;Round 8 - Red Bull x Palmeiras;https://1xbet.whoscored.com/Matches/1457638/Live/Brazil-Brasileir%C3%A3o-2020-Red-Bull-Bragantino-Palmeiras
Sao Paulo;634;104;264;136;323;174;497;262;141;403;47;457;13;15;3;1;50;Round 8 - Sao Paulo x Fluminense;https://1xbet.whoscored.com/Matches/1457634/Live/Brazil-Brasileir%C3%A3o-2020-Sao-Paulo-Fluminense
Fluminense;615;128;259;101;317;168;485;240;245;485;62;426;13;10;1;3;50;Round 8 - Sao Paulo x Fluminense;https://1xbet.whoscored.com/Matches/1457634/Live/Brazil-Brasileir%C3%A3o-2020-Sao-Paulo-Fluminense
Internacional;725;93;281;204;323;254;577;282;293;575;64;514;27;9;2;2;62;Round 8 - Internacional x Bahia;https://1xbet.whoscored.com/Matches/1457636/Live/Brazil-Brasileir%C3%A3o-2020-Internacional-Bahia
Bahia;518;84;195;91;265;105;370;198;165;363;50;320;15;9;2;2;38;Round 8 - Internacional x Bahia;https://1xbet.whoscored.com/Matches/1457636/Live/Brazil-Brasileir%C3%A3o-2020-Internacional-Bahia
Vasco;483;108;136;79;210;111;321;176;145;321;52;271;8;8;1;0;33;Round 8 - Vasco x Athletico Paranaense;https://1xbet.whoscored.com/Matches/1457627/Live/Brazil-Brasileir%C3%A3o-2020-Vasco-da-Gama-Athletico-Paranaense
Athletico Paranaense;774;162;270;213;419;224;643;316;329;645;48;597;19;14;0;1;67;Round 8 - Vasco x Athletico Paranaense;https://1xbet.whoscored.com/Matches/1457627/Live/Brazil-Brasileir%C3%A3o-2020-Vasco-da-Gama-Athletico-Paranaense
Atletico GO;634;88;244;162;319;174;493;252;241;493;62;432;17;8;1;1;49;Round 8 - Atletico GO x Gremio;https://1xbet.whoscored.com/Matches/1457629/Live/Brazil-Brasileir%C3%A3o-2020-Atletico-GO-Gremio
Gremio;645;81;267;171;335;178;513;273;245;518;58;461;22;6;1;1;51;Round 8 - Atletico GO x Gremio;https://1xbet.whoscored.com/Matches/1457629/Live/Brazil-Brasileir%C3%A3o-2020-Atletico-GO-Gremio
Coritiba;633;148;241;94;311;171;482;249;232;481;78;405;18;13;0;1;48;Round 8 - Coritiba x Atletico Mg;https://1xbet.whoscored.com/Matches/1457632/Live/Brazil-Brasileir%C3%A3o-2020-Coritiba-Atletico-MG
Atletico Mg;678;80;232;215;325;199;524;268;259;527;50;477;23;21;1;0;52;Round 8 - Coritiba x Atletico Mg;https://1xbet.whoscored.com/Matches/1457632/Live/Brazil-Brasileir%C3%A3o-2020-Coritiba-Atletico-MG
Sport Recife;673;71;286;178;336;193;529;246;282;528;58;477;29;18;2;1;53;Round 8 - Sport Recife x Goias;https://1xbet.whoscored.com/Matches/1457633/Live/Brazil-Brasileir%C3%A3o-2020-Sport-Recife-Goias
Goias;657;145;252;88;312;170;482;226;258;484;64;421;13;10;1;2;48;Round 8 - Sport Recife x Goias;https://1xbet.whoscored.com/Matches/1457633/Live/Brazil-Brasileir%C3%A3o-2020-Sport-Recife-Goias
Athletico Paranaense;668;122;279;151;343;198;541;271;269;540;45;497;17;17;1;1;62;Round 9 - Athletico Paranaemse x Botafogo;https://1xbet.whoscored.com/Matches/1457646/Live/Brazil-Brasileir%C3%A3o-2020-Athletico-Paranaense-Botafogo-RJ
Botafogo;489;103;161;92;228;125;353;180;175;355;47;309;17;11;1;1;38;Round 9 - Athletico Paranaemse x Botafogo;https://1xbet.whoscored.com/Matches/1457646/Live/Brazil-Brasileir%C3%A3o-2020-Athletico-Paranaense-Botafogo-RJ
Goias;642;101;224;188;309;202;511;243;267;510;49;464;28;18;3;3;54;Round 9 - Goias x Coritiba;https://1xbet.whoscored.com/Matches/1457644/Live/Brazil-Brasileir%C3%A3o-2020-Goias-Coritiba
Coritiba;595;107;214;106;273;153;426;208;216;424;60;367;16;14;3;3;46;Round 9 - Goias x Coritiba;https://1xbet.whoscored.com/Matches/1457644/Live/Brazil-Brasileir%C3%A3o-2020-Goias-Coritiba
Fortaleza;555;53;250;146;276;172;448;225;223;448;57;392;24;12;1;0;52;Round 9 - Fortaleza x Sport Recife;https://1xbet.whoscored.com/Matches/1457645/Live/Brazil-Brasileir%C3%A3o-2020-Fortaleza-Sport-Recife
Sport Recife;511;76;233;97;237;165;402;203;202;405;53;353;8;4;0;1;48;Round 9 - Fortaleza x Sport Recife;https://1xbet.whoscored.com/Matches/1457645/Live/Brazil-Brasileir%C3%A3o-2020-Fortaleza-Sport-Recife
Sao Paulo;696;102;269;183;361;191;552;285;269;554;42;512;36;14;1;1;59;Round 9 - Sao Paulo x Red Bull;https://1xbet.whoscored.com/Matches/1457635/Live/Brazil-Brasileir%C3%A3o-2020-Sao-Paulo-Red-Bull-Bragantino
Red Bull;545;82;225;79;255;129;384;197;188;385;66;320;7;10;1;1;41;Round 9 - Sao Paulo x Red Bull;https://1xbet.whoscored.com/Matches/1457635/Live/Brazil-Brasileir%C3%A3o-2020-Sao-Paulo-Red-Bull-Bragantino
Fluminense;661;86;261;143;306;179;485;245;242;487;50;440;24;17;1;2;47;Round 9 - Fluminense x Flamengo;https://1xbet.whoscored.com/Matches/1457630/Live/Brazil-Brasileir%C3%A3o-2020-Fluminense-Flamengo
Flamengo;716;113;278;150;339;200;539;283;258;541;55;486;17;13;2;1;53;Round 9 - Fluminense x Flamengo;https://1xbet.whoscored.com/Matches/1457630/Live/Brazil-Brasileir%C3%A3o-2020-Fluminense-Flamengo
Santos;483;72;154;106;225;107;332;165;167;332;52;280;11;8;3;1;41;Round 9 - Santos x Atletico Mg;https://1xbet.whoscored.com/Matches/1457639/Live/Brazil-Brasileir%C3%A3o-2020-Santos-FC-Atletico-MG
Atletico Mg;588;80;262;137;301;176;477;250;228;478;49;430;17;16;1;3;59;Round 9 - Santos x Atletico Mg;https://1xbet.whoscored.com/Matches/1457639/Live/Brazil-Brasileir%C3%A3o-2020-Santos-FC-Atletico-MG
Corinthians;688;140;281;132;343;210;553;307;246;553;44;509;17;10;0;2;54;Round 9 - Corinthians x Palmeiras;https://1xbet.whoscored.com/Matches/1457649/Live/Brazil-Brasileir%C3%A3o-2020-Corinthians-Palmeiras
Palmeiras;618;92;250;128;284;186;470;240;229;469;47;423;14;21;2;0;46;Round 9 - Corinthians x Palmeiras;https://1xbet.whoscored.com/Matches/1457649/Live/Brazil-Brasileir%C3%A3o-2020-Corinthians-Palmeiras
Internacional;722;128;273;170;342;227;569;292;275;567;72;499;24;17;2;0;62;Round 9 - Internacional x Ceara;https://1xbet.whoscored.com/Matches/1457648/Live/Brazil-Brasileir%C3%A3o-2020-Internacional-Ceara
Ceara;499;48;185;128;263;96;359;182;177;359;61;300;18;6;0;2;38;Round 9 - Internacional x Ceara;https://1xbet.whoscored.com/Matches/1457648/Live/Brazil-Brasileir%C3%A3o-2020-Internacional-Ceara
Bahia;639;83;296;134;329;184;513;264;249;513;30;483;24;17;0;2;50;Round 9 - Bahia x Gremio;https://1xbet.whoscored.com/Matches/1457647/Live/Brazil-Brasileir%C3%A3o-2020-Bahia-Gremio
Gremio;637;89;300;120;301;207;508;248;259;507;48;461;13;18;2;0;50;Round 9 - Bahia x Gremio;https://1xbet.whoscored.com/Matches/1457647/Live/Brazil-Brasileir%C3%A3o-2020-Bahia-Gremio
Vasco;640;93;291;119;299;201;500;256;244;500;62;441;10;9;1;2;54;Round 9 - Vasco x Atletico GO;https://1xbet.whoscored.com/Matches/1457631/Live/Brazil-Brasileir%C3%A3o-2020-Vasco-da-Gama-Atletico-GO
Atletico GO;554;82;199;145;282;142;424;208;217;425;44;382;21;13;2;1;46;Round 9 - Vasco x Atletico GO;https://1xbet.whoscored.com/Matches/1457631/Live/Brazil-Brasileir%C3%A3o-2020-Vasco-da-Gama-Atletico-GO
Athletico Paranaense;542;75;213;115;241;162;403;201;202;403;62;341;23;10;1;0;44;Round 10 - Athletico Paranaense x Coritiba;https://1xbet.whoscored.com/Matches/1457650/Live/Brazil-Brasileir%C3%A3o-2020-Athletico-Paranaense-Coritiba
Coritiba;648;181;221;108;314;193;507;256;252;508;58;452;22;5;0;1;56;Round 10 - Athletico Paranaense x Coritiba;https://1xbet.whoscored.com/Matches/1457650/Live/Brazil-Brasileir%C3%A3o-2020-Athletico-Paranaense-Coritiba
Santos;577;100;226;123;281;166;447;240;209;449;67;382;19;10;2;2;55;Round 10 - Santos x Sao Paulo;https://1xbet.whoscored.com/Matches/1457640/Live/Brazil-Brasileir%C3%A3o-2020-Santos-FC-Sao-Paulo
Sao Paulo;514;90;186;100;234;140;374;216;156;372;58;318;14;12;2;2;45;Round 10 - Santos x Sao Paulo;https://1xbet.whoscored.com/Matches/1457640/Live/Brazil-Brasileir%C3%A3o-2020-Santos-FC-Sao-Paulo
Fluminense;539;60;209;118;247;139;386;199;187;386;39;348;14;15;2;1;48;Round 10 - Fluminense x Corinthians;https://1xbet.whoscored.com/Matches/1457643/Live/Brazil-Brasileir%C3%A3o-2020-Fluminense-Corinthians
Corinthians;562;102;206;113;253;166;419;205;214;419;54;367;17;9;1;2;52;Round 10 - Fluminense x Corinthians;https://1xbet.whoscored.com/Matches/1457643/Live/Brazil-Brasileir%C3%A3o-2020-Fluminense-Corinthians
Gremio;696;50;315;210;351;216;567;292;281;573;26;549;23;14;1;1;56;Round 10 - Gremio x Fortaleza;https://1xbet.whoscored.com/Matches/1457652/Live/Brazil-Brasileir%C3%A3o-2020-Gremio-Fortaleza
Fortaleza;573;91;283;71;257;186;443;222;222;444;37;398;9;3;1;1;44;Round 10 - Gremio x Fortaleza;https://1xbet.whoscored.com/Matches/1457652/Live/Brazil-Brasileir%C3%A3o-2020-Gremio-Fortaleza
