;touches;passes_def;passes_mid;passes_att;passes_forward;passes_backward;passes_vertical;passes_left;passes_right;passes_horizontal;passes_long;passes_short;crosses;shots;goals_scored;goals_received;possession;match;Link
Fluminense;658;127;247;107;307;172;479;248;233;481;56;425;15;10;0;1;48;Round 1 - Gremio x Fluminense;https://1xbet.whoscored.com/Matches/1457570/Live/Brazil-Brasileirão-2020-Gremio-Fluminense
Athletico Paranaense;907;142;449;179;454;314;768;371;398;769;78;692;16;19;2;1;79;Round 2 - Athletico Paranaense x Goias;https://1xbet.whoscored.com/Matches/1457560/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Goias
Goias;372;25;105;95;146;79;225;132;92;224;48;177;9;13;1;2;22;Round 2 - Athletico Paranaense x Goias;https://1xbet.whoscored.com/Matches/1457560/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Goias
Atletico Mg;721;85;265;221;362;207;569;282;282;564;52;519;30;25;3;2;55;Round 2 - Atletico Mg x Corinthians;https://1xbet.whoscored.com/Matches/1457563/Live/Brazil-Brasileirão-2020-Atletico-MG-Corinthians
Corinthians;628;151;215;90;304;150;454;237;214;451;69;386;10;8;2;3;45;Round 2 - Atletico Mg x Corinthians;https://1xbet.whoscored.com/Matches/1457563/Live/Brazil-Brasileirão-2020-Atletico-MG-Corinthians
Red Bull;747;70;280;264;400;213;613;313;299;612;42;572;30;23;1;1;54;Round 2 - Red Bull x Botafogo;https://1xbet.whoscored.com/Matches/1457564/Live/Brazil-Brasileirão-2020-Red-Bull-Bragantino-Botafogo-RJ
Botafogo;651;148;270;95;333;179;512;266;244;510;51;462;16;9;1;1;46;Round 2 - Red Bull x Botafogo;https://1xbet.whoscored.com/Matches/1457564/Live/Brazil-Brasileirão-2020-Red-Bull-Bragantino-Botafogo-RJ
Bahia;597;81;246;128;307;148;455;254;199;453;52;403;12;12;1;0;46;Round 2 - Bahia x Coritiba;https://1xbet.whoscored.com/Matches/1457561/Live/Brazil-Brasileirão-2020-Bahia-Coritiba
Coritiba;688;143;235;156;350;182;532;266;268;534;57;477;29;15;0;1;54;Round 2 - Bahia x Coritiba;https://1xbet.whoscored.com/Matches/1457561/Live/Brazil-Brasileirão-2020-Bahia-Coritiba
Atletico GO;469;76;134;119;229;98;327;167;158;325;52;277;24;13;3;0;35;Round 2 - Atletico GO x Flamengo;https://1xbet.whoscored.com/Matches/1457575/Live/Brazil-Brasileirão-2020-Atletico-GO-Flamengo
Flamengo;746;73;334;199;373;227;600;315;288;603;32;574;23;9;0;3;65;Round 2 - Atletico GO x Flamengo;https://1xbet.whoscored.com/Matches/1457575/Live/Brazil-Brasileirão-2020-Atletico-GO-Flamengo
Fluminense;629;103;235;123;301;158;459;216;243;459;53;408;12;10;1;1;52;Round 2 - Fluminense x Palmeiras;https://1xbet.whoscored.com/Matches/1457567/Live/Brazil-Brasileirão-2020-Fluminense-Palmeiras
